,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44,Comp.45
Match_Day,-0.000509451,0.084124287,0.076857203,0.03645547,0.005333086,-0.031417974,0.085787482,-0.162293271,0.271724293,0.453819823,-0.199086816,0.035859485,0.1209809,0.254291974,-0.134372797,-0.198505629,-0.064278655,0.067710478,-0.667559074,0.058364466,0.066509049,-0.130562076,0.027742605,0.006605178,0.006717667,0.071393993,-0.010200405,0.036832556,-0.054339515,0.029091152,-0.025385415,0.027946615,0.008051538,0.000103693,0.009447919,0.027789126,-0.001484513,-0.005046738,-0.024446269,-0.002799484,-0.005006782,0.003250405,-0.001719633,0.004497752,0.004061351
Unix_Date,0.006313039,0.00993965,0.039888146,0.043276358,0.126801847,0.077270631,0.069067182,0.395300157,0.153992746,0.016234658,0.108501697,0.080306207,0.32633389,0.499358257,0.385362795,0.042932366,0.38949487,0.224146847,0.099623524,0.006070641,0.058648704,0.118549886,0.018133915,0.01237227,0.027940011,0.035890784,0.008142959,0.003325753,0.049965412,0.015352215,0.02368873,0.156727165,0.017317226,0.004746466,0.003728575,0.03514566,0.014524199,0.001326069,0.02325502,0.028600985,0.024254555,0.021911073,0.001649535,0.028439195,0.002234015
Away_Last_Red,0.011832688,0.017711662,0.04332411,-0.020790812,-0.044292523,0.004025643,-0.032866353,0.027499769,-0.081556316,0.092131612,-0.544606928,0.38035069,-0.394737777,-0.174372344,0.364929245,0.247191106,0.078391789,0.355389545,-0.037484728,0.105608571,0.060048536,-0.011554912,-0.041903753,-0.013735109,-0.007332324,0.005511592,0.022955541,-0.023457128,-0.018706598,-0.009062206,0.030593564,-0.048154092,0.007825974,-0.017068695,-0.01521973,-0.007827453,-0.008231632,0.004367398,-0.001809677,-0.000396,-0.007951939,-0.007340608,-0.000270659,0.006180143,-0.009519233
Away_Avg_Tie,0.012208362,0.062920798,-0.172418667,-0.005693217,-0.081484785,0.118182237,-0.015147044,0.213442311,0.281171213,0.266316109,0.467261015,0.359884087,-0.124693502,-0.345364791,0.166105063,0.000138416,0.071898661,-0.196023342,-0.103519791,-0.049104245,-0.045496928,-0.190985243,-0.115424762,0.08023406,-0.119120006,-0.094126876,-0.031061463,-0.039231222,0.027703667,-0.087138953,0.047808582,0.029636836,-0.025253941,-0.159920649,-0.12179899,0.088713653,0.121544504,-0.087908186,0.00988726,-0.049608068,-0.100335882,0.026751278,0.047698773,0.008215118,0.016784207
Match_Hour,0.015749983,-0.010784511,-0.018014934,0.006708365,0.087220325,0.084858011,-0.014980469,0.270409543,-0.174932797,-0.563987605,0.073187781,-0.160721876,0.060431783,-0.250718455,0.10054997,0.026908714,0.066747464,0.103728309,-0.649377997,-0.008640615,0.089997927,-0.056283818,-0.004390803,-0.016088041,-0.046230547,-0.004625007,-0.018788485,0.028371621,0.01074116,0.015397661,0.035181357,-0.001042791,0.010205088,0.008062067,-0.005494929,0.011957827,-0.002391149,0.001198445,0.006404451,0.005446489,-0.001231254,-0.00159739,0.004522598,0.000660681,-0.003829401
Away_Last_Yellow,0.01925607,0.036120722,-0.01728724,-0.110435213,0.00825559,0.285739154,-0.179096582,0.140799358,-0.019463512,0.112840476,0.121885208,-0.151609254,-0.003943151,-0.126935802,0.097523676,-0.55434017,-0.346261606,0.537324037,0.140626847,0.12661972,-0.049649485,-0.0034193,-0.036837706,-0.033613324,-0.006977325,0.010284603,0.116999291,-0.004066933,-0.03893845,0.028234957,0.010836195,-0.039015781,0.026422923,0.008037624,0.005609464,-0.008193622,-0.012188323,0.005627157,-0.002423341,-0.00388906,-0.002869214,-0.002367634,-0.001735079,0.004641383,-0.00539773
Away_Avg_Foul_Diff,0.022568247,0.048099141,0.064177749,-0.13309689,-0.012062786,0.480807004,-0.37387362,-0.159970582,-0.019325203,-0.013656635,-0.083246816,0.001600706,0.107410286,0.128571594,-0.021345008,0.158075389,0.125639363,-0.187104368,-0.056084231,-0.074369573,-0.032254236,-0.023965693,-0.055528648,0.046037861,-0.126601233,-0.027161815,0.56502995,-0.219237041,-0.073940734,0.077382787,0.139101397,-0.174784375,-0.009628618,-0.034174114,-0.028318868,0.058133095,0.004422756,-0.001469266,-0.009735657,0.014516152,0.001888064,-0.003555594,-0.006252647,-0.002797705,0.009165988
Away_Avg_Fouls_Committed,0.030376717,0.041793189,0.043583197,-0.180936893,-0.052269897,0.496559654,-0.388450665,-0.130795126,0.002219099,0.000801037,-0.06969142,0.017781949,0.035059822,0.026136769,0.007280665,0.083867393,0.034096536,-0.089531279,-0.010629746,-0.026724709,0.004917172,0.021419367,0.079845658,-0.022408141,0.108489229,0.057333756,-0.603844745,0.206408501,0.071398278,-0.079377735,-0.166602987,0.220555151,-0.002318362,0.017483963,0.004381793,-0.045990609,-0.018089043,-0.002687112,-0.01665727,-0.019303861,-0.009269552,0.005140523,0.012755379,0.006887156,-0.00146053
Home_Avg_Corners,0.13592927,-0.128260602,0.068963783,0.203904959,-0.368789424,0.011189642,-0.080616105,0.098320229,-0.105417593,0.014353571,0.025047903,0.01066551,0.007051208,0.018714841,-0.051378628,0.016615829,0.04686801,-0.085788038,-0.044383668,0.458245266,-0.248875859,0.036234402,0.067149464,0.007796508,0.132125251,-0.130924473,0.081209436,0.212173943,-0.14806661,0.085121191,0.279646466,0.236755271,0.032817612,-0.297815082,0.32001056,-0.005726127,-0.078468171,-0.009314163,-0.047394442,-0.07637068,0.038439613,-0.049708541,0.031187551,-0.023656269,-0.008965801
Home_Avg_Corner_Diff,0.153894672,-0.143386724,0.087403473,0.20497535,-0.36113134,0.000886091,-0.077987049,0.093754277,-0.074442452,0.005090484,0.053879118,-0.001137866,0.035062019,0.069848497,0.009827208,0.006493786,0.048306103,-0.030567532,-0.0578311,0.355295652,-0.162194543,0.013591949,0.037275998,0.060529731,0.065348657,-0.037063888,-0.066372976,-0.243441503,-0.036206475,-0.058635705,-0.361032572,-0.253300351,-0.015210539,0.368683157,-0.374898222,0.015958085,0.119041761,-0.02327156,0.036410909,0.102558748,-0.041009859,0.072191315,-0.046419585,0.023822002,0.000776259
